db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,mihi_full,sentence_pair_count,whole_highsim_ratio,imagery_jaccard_p90,sent_pseudo_ratio,imagery_score,top10_imagery_concentration,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,imagery_entropy,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,core_mihi,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b2,五词牌-改革主题,doubao-seed-2.0-pro,清平乐,45,20,5,20,12160.000000,0.837596,0.658371,78.800000,0.468474,190.000000,0.060000,0.104274,0.710175,0.100819,0.280464,1.000000,0.032982,0.000000,160.000000,0.838437,0.974988,0.296296,0.693874,0.618317,0.790185,0.196296,0.434408,190.000000,0.557588,2.400000,0.519327,0.451810,0.488944,0.068644
b2,五词牌-改革主题,doubao-seed-2.0-pro,祝英台近,25,10,5,10,11520.000000,0.889091,0.848125,64.000000,0.553429,45.000000,0.737778,0.079580,0.648889,0.086354,0.249392,1.000000,0.051852,0.000000,160.000000,0.847098,0.987095,0.232421,0.753421,0.681320,0.867685,0.176842,0.441434,45.000000,0.665114,2.800000,0.643206,0.463175,0.562192,0.102922
b2,五词牌-改革主题,doubao-seed-2.0-pro,菩萨蛮,24,20,5,20,12160.000000,0.816665,0.629929,103.800000,0.454115,190.000000,0.025263,0.102848,0.800351,0.080106,0.208862,1.000000,0.009123,0.000000,160.000000,0.890992,0.982791,0.261538,0.660117,0.594301,0.759753,0.157692,0.441789,190.000000,0.545266,2.800000,0.507066,0.431574,0.473095,0.072171
b2,五词牌-改革主题,qwen3.6-plus,沁园春,19,19,5,19,107776.000000,0.931697,0.923980,229.000000,0.603100,171.000000,0.964912,0.125000,0.411306,0.098048,0.173529,1.000000,0.237817,0.060606,477.000000,0.928321,0.962881,0.215054,0.868742,0.782405,0.902977,0.158273,0.479141,171.000000,0.723802,3.000000,0.643064,0.459447,0.560436,0.163366
b2,五词牌-改革主题,qwen3.6-plus,浪淘沙,18,18,5,18,15300.000000,0.885746,0.761892,139.000000,0.515507,153.000000,0.398693,0.105263,0.588235,0.100807,0.222798,1.000000,0.080610,0.045455,180.000000,0.892935,0.966838,0.296875,0.756613,0.675906,0.832860,0.203125,0.435698,153.000000,0.615105,3.000000,0.529160,0.446171,0.491815,0.123290
b2,五词牌-改革主题,qwen3.6-plus,清平乐,30,20,5,20,12160.000000,0.850323,0.671181,152.000000,0.461817,190.000000,0.104211,0.059216,0.755088,0.050585,0.156789,1.000000,0.010877,0.000000,160.000000,0.971832,0.983938,0.240741,0.655827,0.598401,0.790484,0.170031,0.427625,190.000000,0.561581,3.000000,0.519327,0.451810,0.488944,0.072637
b2,五词牌-改革主题,qwen3.6-plus,祝英台近,10,10,5,10,12696.000000,0.894456,0.813544,114.000000,0.537748,45.000000,0.577778,0.078769,0.703704,0.074456,0.195489,1.000000,0.029630,0.000000,168.000000,0.858673,0.984670,0.202105,0.749763,0.697293,0.859304,0.136842,0.447892,45.000000,0.649001,3.000000,0.643206,0.463175,0.562192,0.086808
b2,五词牌-改革主题,qwen3.6-plus,菩萨蛮,22,20,5,20,12160.000000,0.840897,0.659029,151.400000,0.467026,190.000000,0.072632,0.095713,0.781754,0.080935,0.192272,1.000000,0.009825,0.000000,160.000000,0.839076,0.975401,0.246154,0.674442,0.613117,0.784467,0.173077,0.440789,190.000000,0.560821,3.000000,0.507066,0.431574,0.473095,0.087726
b3,五词牌-玉兰主题,deepseek-3.2-thinking,沁园春,13,13,5,13,49050.000000,0.925887,0.914547,69.000000,0.642456,78.000000,0.948718,0.181818,0.401709,0.201112,0.343137,1.000000,0.380342,0.062500,326.000000,0.391244,0.957207,0.273871,0.907237,0.839705,0.894074,0.204291,0.544821,78.000000,0.748170,2.000000,0.639398,0.458045,0.557789,0.190381
b3,五词牌-玉兰主题,deepseek-3.2-thinking,浪淘沙,34,20,5,20,19000.000000,0.834548,0.644431,49.600000,0.494547,190.000000,0.029474,0.305714,0.466316,0.290895,0.494358,0.997895,0.102807,0.142857,200.000000,0.451319,0.892731,0.319062,0.790649,0.705136,0.776344,0.223438,0.418212,190.000000,0.542633,2.600000,0.531713,0.445985,0.493135,0.049497
