ai_uid,db_key,ai_poem_id,model_name,cipai,title,sentence_count,whole_sem_top1_score,whole_sem_top1_source_poem_id,whole_sem_top1_source_title,whole_sem_top1_source_author,whole_sem_percentile,whole_lex_top1_score,whole_lex_top1_source_poem_id,whole_lex_top1_source_title,whole_lex_top1_source_author,whole_lex_percentile,sem_dominant_source_poem_id,sem_dominant_source_title,sem_dominant_source_author,sem_dominant_source_coverage,lex_dominant_source_poem_id,lex_dominant_source_title,lex_dominant_source_author,lex_dominant_source_coverage,distinct_sem_source_poems,distinct_lex_source_poems,max_consecutive_sem_same_source,max_consecutive_lex_same_source,same_source_sentence_count,max_sentence_sem_score,max_sentence_lex_score
b1:167,b1,167,doubao-seed-2.0-pro,祝英台近,过故人废园,16,0.8517879843711853,7085,玉漏迟,刘子寰,0.4142857142857143,0.1990521327014218,17678,烛影摇红,廖世美,0.45714285714285713,4265,厅前柳,赵师侠,0.0625,4265,厅前柳,赵师侠,0.0625,16,16,1,1,5,0.949885,0.857143
b1:71,b1,71,doubao-seed-2.0-pro,清平乐,春山闲行,8,0.8517229557037354,2114,倦寻芳,王质,0.851123595505618,0.20689655172413793,12538,少年游,方千里,0.31179775280898875,5176,瑞鹤仙,俞国宝,0.125,16267,江神子・江城子,张继先,0.125,8,8,1,1,2,0.85089,0.666667
b3:251,b3,251,qwen3.6-plus,菩萨蛮,玉兰引,8,0.8517221808433533,10403,疏影,王梦应,0.8645484949832776,0.192,20921,柳梢青,陆游,0.006688963210702341,15968,菩萨蛮,刘焘,0.125,10666,摸鱼子,张炎,0.125,8,8,1,1,3,0.8381,0.615385
b3:580,b3,580,doubao-seed-2.0-pro,祝英台近,寓舍见玉兰感作,16,0.8517105579376221,10403,疏影,王梦应,0.4142857142857143,0.19534883720930232,10935,醉蓬莱,伍梅城,0.42857142857142855,9934,望海潮,赵文,0.0625,10488,绛都春,蒋捷,0.0625,16,16,1,1,3,0.913605,0.8
b1:66,b1,66,doubao-seed-2.0-pro,清平乐,夏晚村居,8,0.8517053127288818,19710,渔家傲引・渔家傲,洪适,0.851123595505618,0.19607843137254902,19779,生查子,洪适,0.03651685393258427,1537,南歌子,苏轼,0.125,19050,采莲延遍・采莲令,史浩,0.125,8,8,1,1,0,0.821832,0.6
c1:419,c1,419,qwen3.6-plus,沁园春,玉兰逢春,23,0.8516882061958313,10481,木兰花慢,蒋捷,0.04491725768321513,0.176,5548,东风第一枝,高观国,0.0425531914893617,14813,踏莎行,秦观,0.043478260869565216,7533,水调歌头,李曾伯,0.043478260869565216,23,23,1,1,6,1.0,1.0
c2:164,c2,164,deepseek-3.2-thinking,沁园春,宗规吟,25,0.8516440391540527,11037,沁园春,无名氏,0.04491725768321513,0.152,7544,水调歌头,李曾伯,0.004728132387706856,6721,水龙吟,刘克庄,0.08,8642,烛影摇红,陈著,0.04,24,25,1,1,3,0.940462,0.8
c2:32,c2,32,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.8516140580177307,13605,满江红,陈纪,0.04491725768321513,0.16342412451361868,14801,满庭芳,秦观,0.0070921985815602835,14237,好事近,京镗,0.04,16663,水龙吟,朱敦儒,0.04,25,25,1,1,6,1.0,1.0
a1:244,a1,244,deepseek-3.2-thinking,鹧鸪天,虚拟星河,9,0.851570188999176,4776,沁园春,汪莘,0.7884322678843226,0.18181818181818182,16234,洞仙歌,张继先,0.015220700152207,10589,台城路・齐天乐,张炎,0.1111111111111111,19484,壶中天慢・念奴娇,曾觌,0.1111111111111111,9,9,1,1,1,0.936238,0.75
a1:12,a1,12,qwen3.6-plus,青玉案,秋暮江畔偶题,12,0.8515279293060303,7982,玉胡蝶・玉蝴蝶,吴文英,0.7518248175182481,0.19696969696969696,18073,点绛唇,蔡伸,0.35036496350364965,19031,青玉案,胡铨,0.08333333333333333,19031,青玉案,胡铨,0.08333333333333333,12,12,1,1,4,1.0,1.0
a1:97,a1,97,qwen3-max,临江仙,夜泊吴江,10,0.8514703512191772,7753,齐天乐,方岳,0.8153526970954357,0.23880597014925373,3778,望江南・忆江南,程垓,0.8049792531120332,14833,阮郎归,秦观,0.1,7729,贺新凉・贺新郎,方岳,0.1,10,10,1,1,2,0.928813,0.75
