scope,cipai,length_bucket,metric_type,count,mean,p50,p90,p95,p99,max
sentence,菩萨蛮,<=5,lexical,3577,0.44602706491160504,0.4,0.6,0.8,1.0,1.0
sentence,蝶恋花,12-14,semantic,1,0.6636974215507507,0.6636974215507507,0.6636974215507507,0.6636974215507507,0.6636974215507507,0.6636974215507507
sentence,蝶恋花,12-14,lexical,1,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367
sentence,蝶恋花,15+,semantic,1,0.6163325905799866,0.6163325905799866,0.6163325905799866,0.6163325905799866,0.6163325905799866,0.6163325905799866
sentence,蝶恋花,15+,lexical,1,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.17391304347826086
sentence,蝶恋花,6-8,semantic,2476,0.7320275883489741,0.7186642289161682,0.8402872085571289,0.94060879945755,1.0000003576278687,1.0000005960464478
sentence,蝶恋花,6-8,lexical,2476,0.4207699106224954,0.36363636363636365,0.5714285714285714,0.8571428571428571,1.0,1.0
sentence,蝶恋花,9-11,semantic,4,0.6432918310165405,0.6440800726413727,0.7147018492221833,0.7225118070840836,0.7287597733736039,0.7303217649459839
sentence,蝶恋花,9-11,lexical,4,0.4151785714285714,0.375,0.55,0.5874999999999999,0.6174999999999999,0.625
sentence,蝶恋花,<=5,semantic,1655,0.7482534472315693,0.7306715846061707,0.8808466196060181,0.9999998211860657,1.0000003576278687,1.0000008344650269
sentence,蝶恋花,<=5,lexical,1655,0.4837576455099114,0.4444444444444444,0.75,1.0,1.0,1.0
sentence,行香子,6-8,semantic,118,0.6738596775774228,0.6588398218154907,0.7657362461090087,0.8026226103305815,1.0000000786781311,1.0000001192092896
sentence,行香子,6-8,lexical,118,0.34265635494449054,0.3333333333333333,0.5,0.5,1.0,1.0
sentence,行香子,9-11,semantic,1,0.5930559635162354,0.5930559635162354,0.5930559635162354,0.5930559635162354,0.5930559635162354,0.5930559635162354
sentence,行香子,9-11,lexical,1,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
sentence,行香子,<=5,semantic,829,0.7176374571242867,0.7023383975028992,0.8696141481399537,0.9254598140716552,1.000000238418579,1.0000003576278687
sentence,行香子,<=5,lexical,829,0.4143036965714891,0.3333333333333333,0.6666666666666666,0.75,1.0,1.0
sentence,西江月,6-8,semantic,3900,0.7116412250048075,0.7009713351726532,0.8112359404563904,0.864128053188324,0.9999997627735138,1.0000005960464478
sentence,西江月,6-8,lexical,3900,0.35902820256666407,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0
sentence,西江月,9-11,semantic,4,0.6545950174331665,0.627650648355484,0.7224610090255738,0.7393075346946716,0.7527847552299499,0.7561540603637695
sentence,西江月,9-11,lexical,4,0.2583333333333333,0.2583333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
