db,db_label,prompt_type,model,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,汀洲,23,0.009555,23,0.115000,3,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,明月,20,0.008309,20,0.100000,4,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,篱菊,20,0.008309,20,0.100000,5,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,孤篷,19,0.007894,19,0.095000,6,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,归鸿,16,0.006647,16,0.080000,7,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,丹枫,16,0.006647,16,0.080000,8,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,阑干,15,0.006232,15,0.075000,9,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,归雁,15,0.006232,15,0.075000,10,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,归帆,14,0.005816,14,0.070000,11,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,荻花,14,0.005816,14,0.070000,12,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,霜风,13,0.005401,13,0.065000,13,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,家山,13,0.005401,13,0.065000,14,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,芦花,13,0.005401,13,0.065000,15,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,渔灯,13,0.005401,13,0.065000,16,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,雁字,13,0.005401,13,0.065000,17,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,雁影,13,0.005401,13,0.065000,18,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,渔歌,13,0.005401,13,0.065000,19,200,200,2407
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,落木,13,0.005401,13,0.065000,20,200,200,2407
b1,五词牌-无主题,type_b,glm-5,斜阳,18,0.017459,18,0.183673,1,98,98,1031
b1,五词牌-无主题,type_b,glm-5,阑干,15,0.014549,15,0.153061,2,98,98,1031
b1,五词牌-无主题,type_b,glm-5,西风,15,0.014549,15,0.153061,3,98,98,1031
b1,五词牌-无主题,type_b,glm-5,明月,15,0.014549,15,0.153061,4,98,98,1031
b1,五词牌-无主题,type_b,glm-5,梅花,9,0.008729,9,0.091837,5,98,98,1031
b1,五词牌-无主题,type_b,glm-5,闲云,9,0.008729,9,0.091837,6,98,98,1031
b1,五词牌-无主题,type_b,glm-5,烟水,9,0.008729,9,0.091837,7,98,98,1031
b1,五词牌-无主题,type_b,glm-5,孤舟,9,0.008729,9,0.091837,8,98,98,1031
b1,五词牌-无主题,type_b,glm-5,流水,9,0.008729,9,0.091837,9,98,98,1031
b1,五词牌-无主题,type_b,glm-5,危楼,9,0.008729,9,0.091837,10,98,98,1031
b1,五词牌-无主题,type_b,glm-5,夜雨,8,0.007759,8,0.081633,11,98,98,1031
b1,五词牌-无主题,type_b,glm-5,楚天,7,0.006790,7,0.071429,12,98,98,1031
b1,五词牌-无主题,type_b,glm-5,青山,7,0.006790,7,0.071429,13,98,98,1031
b1,五词牌-无主题,type_b,glm-5,暮色,7,0.006790,7,0.071429,14,98,98,1031
b1,五词牌-无主题,type_b,glm-5,清风,7,0.006790,7,0.071429,15,98,98,1031
