db,db_label,prompt_type,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,sent_pseudo_ratio,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_count,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_pseudo_ratio,top10_imagery_concentration,whole_sem_p50,whole_highsim_ratio,whole_sem_p90,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,sentence_pair_count,top1_sent_mean,whole_lex_p90,sent_score,mihi_full,imagery_jaccard_p90,sent_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b1,五词牌-无主题,type_b,glm-5,菩萨蛮,9,9,5,9,0.805556,0.050660,36.000000,0.134615,0.479656,72.000000,0.000000,0.518452,69.000000,0.935945,0.972222,0.191781,0.592525,0.000000,0.740633,0.995369,2304.000000,0.572399,36.000000,0.635240,0.201923,0.432239,0.394719,0.021739,0.000000,6.000000,0.491158,0.421066,0.459616,0.020040
b1,五词牌-无主题,type_b,qwen3.6-plus,沁园春,26,20,5,20,0.476491,0.073125,190.000000,0.151645,0.670679,502.400000,0.038406,0.766994,272.200000,0.936963,1.000000,0.126596,0.838222,0.413684,0.883820,0.969623,119891.200000,0.811425,190.000000,0.897475,0.210005,0.552962,0.553309,0.100088,0.351930,4.000000,0.635898,0.458012,0.555849,0.114830
b1,五词牌-无主题,type_b,qwen3.6-plus,浪淘沙,21,16,5,16,0.752222,0.104162,120.000000,0.171451,0.561139,160.000000,0.024080,0.628896,132.400000,0.732040,0.991667,0.207639,0.742003,0.046667,0.828538,0.972915,12000.000000,0.673102,120.000000,0.745899,0.259688,0.478325,0.471250,0.098808,0.072222,5.400000,0.534417,0.438472,0.491242,0.069898
b1,五词牌-无主题,type_b,qwen3.6-plus,清平乐,24,15,5,15,0.838095,0.088096,105.000000,0.151580,0.557815,120.000000,0.016333,0.626156,128.600000,0.823632,1.000000,0.200034,0.731208,0.053333,0.832949,0.975777,6720.000000,0.646506,105.000000,0.705617,0.233333,0.474288,0.465390,0.089255,0.027937,4.800000,0.533140,0.442754,0.492466,0.065349
b1,五词牌-无主题,type_b,qwen3.6-plus,祝英台近,16,11,5,11,0.675152,0.145039,55.000000,0.158813,0.635740,179.200000,0.036476,0.732278,126.400000,0.439497,1.000000,0.221657,0.821741,0.287273,0.879843,0.970665,14594.400000,0.754389,55.000000,0.826034,0.216658,0.517749,0.539745,0.115828,0.168485,2.000000,0.604407,0.469661,0.543772,0.091969
b1,五词牌-无主题,type_b,qwen3.6-plus,菩萨蛮,33,9,5,9,0.850000,0.113034,36.000000,0.179766,0.588745,72.000000,0.015100,0.673167,92.800000,0.574723,1.000000,0.220614,0.794810,0.105556,0.848837,0.982782,2304.000000,0.664329,36.000000,0.724095,0.261880,0.485562,0.495479,0.077508,0.033333,2.600000,0.491158,0.421066,0.459616,0.129128
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,浪淘沙,23,18,5,18,0.531590,0.111496,153.000000,0.187500,0.580813,180.000000,0.000000,0.730647,66.200000,0.812465,1.000000,0.309730,0.829755,0.274510,0.869557,0.974254,15300.000000,0.659691,153.000000,0.731273,0.265000,0.397683,0.490279,0.112889,0.047059,2.800000,0.529160,0.446171,0.491815,0.088998
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,清平乐,37,20,5,20,0.542105,0.073928,190.000000,0.211111,0.545069,160.000000,0.000000,0.666816,75.800000,0.951458,1.000000,0.252456,0.792654,0.081053,0.847595,0.985699,12160.000000,0.645845,190.000000,0.729196,0.285926,0.396267,0.453547,0.068611,0.037193,3.000000,0.519327,0.451810,0.488944,0.056125
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,菩萨蛮,26,20,5,20,0.593333,0.071994,190.000000,0.211538,0.544003,160.000000,0.000000,0.652818,72.800000,0.890864,1.000000,0.249121,0.787044,0.043158,0.835548,0.987993,12160.000000,0.640272,190.000000,0.721953,0.288462,0.411007,0.452019,0.040222,0.041053,3.000000,0.507066,0.431574,0.473095,0.070908
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,沁园春,40,19,5,19,0.446394,0.145507,171.000000,0.185338,0.767106,474.200000,0.054513,0.936587,155.200000,0.563460,1.000000,0.208436,0.914365,0.997661,0.932908,0.970006,106515.000000,0.821289,171.000000,0.918523,0.261303,0.559962,0.646552,0.152348,0.376218,2.800000,0.643064,0.459447,0.560436,0.206670
