db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,whole_lex_p50,top1_sent_mean,sentence_count,whole_sem_p50,whole_score,imagery_entropy,topk_sent_mean,imagery_jaccard_p50,sent_highsim_ratio,distinct_category_count,sentence_pair_count,sent_pseudo_ratio,top10_imagery_concentration,whole_pair_count,core_mihi,whole_highsim_ratio,category_entropy,whole_pseudo_ratio,whole_sem_p90,mihi_full,imagery_jaccard_p90,sent_score,whole_lex_p90,distinct_imagery_count,imagery_score,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
b1,五词牌-无主题,doubao-seed-2.0-pro,菩萨蛮,34,16,5,16,0.150000,0.670895,128.000000,0.676495,0.575167,0.988268,0.614214,0.000000,0.000547,3.800000,7680.000000,0.543984,0.157439,120.000000,0.480449,0.016667,0.739627,0.981667,0.778622,0.401008,0.056082,0.364683,0.211923,132.400000,0.072719,0.503544,0.289659,0.407296,0.073153
b1,五词牌-无主题,glm-5,浪淘沙,15,15,5,15,0.140625,0.722574,150.000000,0.741735,0.610859,0.971545,0.651840,0.000000,0.001714,3.000000,10500.000000,0.421429,0.243243,105.000000,0.490721,0.000000,0.901897,1.000000,0.799970,0.412183,0.093506,0.343886,0.218750,111.000000,0.084681,0.531493,0.314105,0.433668,0.057053
b1,五词牌-无主题,glm-5,清平乐,10,10,5,10,0.148148,0.650364,80.000000,0.625777,0.542259,0.987836,0.587392,0.000000,0.000694,4.000000,2880.000000,0.490278,0.246753,45.000000,0.452354,0.000000,0.923220,0.977778,0.764568,0.379006,0.069524,0.342470,0.203704,68.000000,0.075626,0.525709,0.335130,0.439948,0.012405
b1,五词牌-无主题,glm-5,祝英台近,8,8,5,8,0.136842,0.829655,128.000000,0.765959,0.641360,0.990401,0.730202,0.000000,0.001814,4.000000,7168.000000,0.578544,0.202247,28.000000,0.543181,0.035714,0.774397,1.000000,0.837457,0.452153,0.052647,0.423185,0.192632,81.000000,0.077131,0.613158,0.371615,0.504464,0.038717
b1,五词牌-无主题,qwen3.6-plus,沁园春,24,13,5,13,0.150042,0.875051,325.000000,0.835635,0.763388,0.979830,0.790425,0.025335,0.001301,3.400000,48750.000000,0.495754,0.136215,78.000000,0.605156,0.394872,0.934683,1.000000,0.888655,0.500109,0.070709,0.411762,0.215230,206.400000,0.062336,0.639398,0.331088,0.500658,0.104498
b1,五词牌-无主题,qwen3.6-plus,浪淘沙,19,15,5,15,0.159375,0.735453,150.000000,0.734847,0.616137,0.976411,0.664055,0.007407,0.001752,5.200000,10500.000000,0.496838,0.196651,105.000000,0.505550,0.030476,0.662787,0.988571,0.808726,0.426301,0.076053,0.370388,0.261250,128.800000,0.097016,0.531493,0.314105,0.433668,0.071881
b1,五词牌-无主题,qwen3.6-plus,清平乐,20,10,5,10,0.151852,0.704989,80.000000,0.732342,0.636279,0.983729,0.641790,0.008000,0.002014,3.600000,2880.000000,0.666736,0.219800,45.000000,0.535499,0.093333,0.791592,1.000000,0.838139,0.448533,0.080974,0.412323,0.222963,93.600000,0.089471,0.525709,0.335130,0.439948,0.095551
b1,五词牌-无主题,qwen3.6-plus,祝英台近,12,8,5,8,0.160123,0.835573,130.800000,0.833046,0.749674,0.974404,0.759342,0.050993,0.002146,1.000000,7483.200000,0.661138,0.244480,28.000000,0.614763,0.350000,0.000000,1.000000,0.877171,0.534392,0.114456,0.449872,0.231273,94.000000,0.197917,0.613158,0.371615,0.504464,0.110299
b1,五词牌-无主题,qwen3.6-plus,菩萨蛮,32,16,5,16,0.191707,0.735951,128.000000,0.795872,0.681906,0.966001,0.673683,0.031015,0.002422,3.000000,7680.000000,0.647656,0.223250,120.000000,0.562271,0.133333,0.464392,1.000000,0.857679,0.480198,0.104591,0.416051,0.271976,143.600000,0.138614,0.503544,0.289659,0.407296,0.154975
b2,五词牌-改革主题,deepseek-3.2-thinking,浪淘沙,19,16,5,16,0.176563,0.737103,160.000000,0.830972,0.727339,0.979328,0.664384,0.000000,0.001533,2.800000,12000.000000,0.481117,0.302329,120.000000,0.564772,0.258333,0.796446,1.000000,0.867286,0.477028,0.100402,0.366079,0.266250,61.800000,0.107989,0.534417,0.307818,0.432448,0.132324
